Exp,Site,Hole,Core,CoreType,Section,TopDepth,BottomDepth,CuratedLength
GLAD9-PET06,1,B,31,H,3,80.89,80.943,0.053
GLAD9-PET06,1,B,31,H,9,80.943,80.953,0.01
GLAD9-PET06,1,B,32,H,1,81.74,83.23281377,1.505
GLAD9-PET06,1,B,32,H,2,83.23281377,84.11064777,0.885
GLAD9-PET06,1,B,32,H,3,84.11064777,84.16024291,0.05
GLAD9-PET06,1,B,32,H,9,84.16024291,84.19,0.03
GLAD9-PET06,1,B,33,H,1,84.19,84.33883626,0.15
GLAD9-PET06,1,B,33,H,2,84.33883626,84.85480196,0.52
GLAD9-PET06,1,B,33,H,3,84.85480196,86.03556962,1.19
GLAD9-PET06,1,B,33,H,4,86.03556962,86.47116374,0.439
GLAD9-PET06,1,B,33,H,5,86.47116374,86.52077583,0.05
GLAD9-PET06,1,B,33,H,9,86.52077583,86.62,0.1
GLAD9-PET06,1,B,34,H,1,86.62,86.826,0.206
GLAD9-PET06,1,B,35,E,1,86.62,88.12,1.5
GLAD9-PET06,1,B,35,E,2,88.12,89.17,1.05
GLAD9-PET06,1,B,35,E,3,89.17,89.22,0.05
GLAD9-PET06,1,B,35,E,9,89.22,89.28,0.06
GLAD9-PET06,1,B,36,E,1,89.62,89.84361111,0.35
GLAD9-PET06,1,B,36,E,9,89.84361111,89.85,0.01
GLAD9-PET06,1,C,1,H,1,0,1.535,1.535
GLAD9-PET06,1,C,2,H,1,1.53,3.035,1.505
GLAD9-PET06,1,C,2,H,2,3.035,4.168,1.133
GLAD9-PET06,1,C,2,H,9,4.168,4.178,0.01
GLAD9-PET06,1,C,3,H,1,4.53,6.035,1.505
GLAD9-PET06,1,C,3,H,2,6.035,7.479,1.444
GLAD9-PET06,1,C,3,H,9,7.479,7.529,0.05
GLAD9-PET06,1,C,4,H,1,7.53,9.04,1.51
GLAD9-PET06,1,C,4,H,2,9.04,10.29,1.25
GLAD9-PET06,1,C,4,H,9,10.29,10.34,0.05
GLAD9-PET06,1,C,5,H,1,9.13,10.625,1.495
GLAD9-PET06,1,C,5,H,2,10.625,11.645,1.02
GLAD9-PET06,1,C,5,H,9,11.645,11.675,0.03
GLAD9-PET06,1,C,6,H,1,12.13,13.61908008,1.5
GLAD9-PET06,1,C,6,H,2,13.61908008,15.0406552,1.432
GLAD9-PET06,1,C,6,H,9,15.0406552,15.13,0.09
GLAD9-PET06,1,C,7,H,1,15.13,16.62450915,1.497
GLAD9-PET06,1,C,7,H,2,16.62450915,18.05013311,1.428
GLAD9-PET06,1,C,7,H,9,18.05013311,18.13,0.08
GLAD9-PET06,1,C,8,H,1,17.13,18.485,1.355
GLAD9-PET06,1,C,8,H,2,18.485,19.502,1.017
GLAD9-PET06,1,C,8,H,3,19.502,19.707,0.205
GLAD9-PET06,1,C,8,H,9,19.707,19.737,0.03
GLAD9-PET06,1,C,9,H,1,20.13,21.578,1.448
GLAD9-PET06,1,C,9,H,2,21.578,22.923,1.345
GLAD9-PET06,1,C,9,H,9,22.923,22.953,0.03
GLAD9-PET06,1,C,10,H,1,23.13,24.635,1.505
GLAD9-PET06,1,C,10,H,2,24.635,26.06,1.425
GLAD9-PET06,1,C,10,H,9,26.06,26.07,0.01
GLAD9-PET06,1,C,11,H,1,26.13,27.645,1.515
GLAD9-PET06,1,C,11,H,2,27.645,29.055,1.41
GLAD9-PET06,1,C,11,H,9,29.055,29.065,0.01
GLAD9-PET06,1,C,12,H,1,29.13,30.58833333,1.505
GLAD9-PET06,1,C,12,H,2,30.58833333,31.55248062,0.995
GLAD9-PET06,1,C,12,H,9,31.55248062,31.63,0.08
GLAD9-PET06,1,C,13,H,1,31.63,33.12603437,1.509
GLAD9-PET06,1,C,13,H,2,33.12603437,34.55068738,1.437
GLAD9-PET06,1,C,13,H,9,34.55068738,34.63,0.08
GLAD9-PET06,1,C,14,H,1,34.63,36.13,1.5
GLAD9-PET06,1,C,14,H,2,36.13,37.405,1.275
GLAD9-PET06,1,C,14,H,9,37.405,37.48,0.075
GLAD9-PET06,1,C,15,H,1,37.63,39.128,1.498
GLAD9-PET06,1,C,15,H,2,39.128,39.808,0.68
GLAD9-PET06,1,C,15,H,9,39.808,39.868,0.06
GLAD9-PET06,1,C,16,H,1,39.63,41.13,1.5
GLAD9-PET06,1,C,16,H,2,41.13,42.562,1.432
GLAD9-PET06,1,C,16,H,9,42.562,42.622,0.06
GLAD9-PET06,1,C,17,H,1,42.63,44.13,1.5
GLAD9-PET06,1,C,17,H,2,44.13,45.55,1.42
GLAD9-PET06,1,C,17,H,9,45.55,45.63,0.08
GLAD9-PET06,1,C,18,H,1,45.63,47.125,1.495
GLAD9-PET06,1,C,18,H,2,47.125,47.975,0.85
GLAD9-PET06,1,C,18,H,3,47.975,48.043,0.068
GLAD9-PET06,1,C,18,H,4,48.043,48.189,0.146
GLAD9-PET06,1,C,18,H,9,48.189,48.249,0.06
GLAD9-PET06,1,C,19,H,1,47.13,47.975,0.845
GLAD9-PET06,1,C,19,H,2,47.975,48.782,0.807
GLAD9-PET06,1,C,19,H,9,48.782,48.842,0.06
GLAD9-PET06,1,C,20,H,1,50.13,51.6152459,1.51
GLAD9-PET06,1,C,20,H,2,51.6152459,53.04147541,1.45
GLAD9-PET06,1,C,20,H,9,53.04147541,53.13,0.09
GLAD9-PET06,1,C,21,H,1,53.13,54.55,1.42
GLAD9-PET06,1,C,22,H,1,56.13,57.625,1.495
GLAD9-PET06,1,C,22,H,2,57.625,58.95,1.325
GLAD9-PET06,1,C,22,H,9,58.95,59.01,0.06
GLAD9-PET06,1,C,23,H,1,59.13,60.58475187,1.495
GLAD9-PET06,1,C,23,H,2,60.58475187,61.25422965,0.688
GLAD9-PET06,1,C,23,H,3,61.25422965,61.94511515,0.71
GLAD9-PET06,1,C,23,H,4,61.94511515,62.07161531,0.13
GLAD9-PET06,1,C,23,H,9,62.07161531,62.13,0.06
GLAD9-PET06,1,C,24,H,1,62.13,63.62654946,1.518
GLAD9-PET06,1,C,24,H,2,63.62654946,65.05605981,1.45
GLAD9-PET06,1,C,24,H,9,65.05605981,65.13,0.075
GLAD9-PET06,1,C,25,H,1,65.13,66.085,0.955
GLAD9-PET06,1,C,25,H,2,66.085,66.885,0.8
GLAD9-PET06,1,C,25,H,3,66.885,67.715,0.83
GLAD9-PET06,1,C,25,H,9,67.715,67.775,0.06
GLAD9-PET06,1,C,26,H,1,68.13,69.63,1.5
GLAD9-PET06,1,C,26,H,2,69.63,70.93,1.3
GLAD9-PET06,1,C,26,H,9,70.93,70.975,0.045
GLAD9-PET06,1,C,27,H,1,70.63,72.13,1.5
GLAD9-PET06,1,C,27,H,2,72.13,73.159,1.029
GLAD9-PET06,1,C,27,H,3,73.159,73.339,0.18
GLAD9-PET06,1,C,27,H,9,73.339,73.409,0.07
GLAD9-PET06,1,C,28,H,1,73.63,75.13,1.5
GLAD9-PET06,1,C,28,H,2,75.13,76.455,1.325
GLAD9-PET06,1,C,28,H,9,76.455,76.495,0.04
GLAD9-PET06,1,C,29,H,1,76.63,78.14,1.51
GLAD9-PET06,1,C,29,H,2,78.14,79.26,1.12
GLAD9-PET06,1,C,29,H,9,79.26,79.31,0.05
GLAD9-PET06,1,C,30,H,1,79.63,80.574,0.944
GLAD9-PET06,1,C,30,H,9,80.574,80.584,0.01
GLAD9-PET06,1,C,31,E,1,80.63,81.53660592,0.995
GLAD9-PET06,1,C,31,E,2,81.53660592,82.62088838,1.19
GLAD9-PET06,1,C,31,E,9,82.62088838,82.63,0.01
GLAD9-PET06,2,A,1,H,1,0,0.615,0.615
GLAD9-PET06,2,A,1,H,9,0.615,0.705,0.09
GLAD9-PET06,2,A,2,H,1,0.7,2.21,1.51
GLAD9-PET06,2,A,2,H,2,2.21,3.123,0.913
GLAD9-PET06,2,A,2,H,9,3.123,3.193,0.07
GLAD9-PET06,2,A,3,H,1,3.7,4.95,1.25
GLAD9-PET06,2,A,3,H,2,4.95,6.33,1.38
GLAD9-PET06,2,A,3,H,9,6.33,6.39,0.06
GLAD9-PET06,2,A,4,H,1,6.7,7.717,1.017
GLAD9-PET06,2,A,4,H,2,7.717,8.252,0.535
GLAD9-PET06,2,A,4,H,3,8.252,9.322,1.07
GLAD9-PET06,2,A,4,H,4,9.322,9.483,0.161
GLAD9-PET06,2,A,4,H,9,9.483,9.563,0.08
GLAD9-PET06,2,A,5,H,1,9.7,11.19551942,1.502
GLAD9-PET06,2,A,5,H,2,11.19551942,12.61636243,1.427
GLAD9-PET06,2,A,5,H,9,12.61636243,12.7,0.084
GLAD9-PET06,2,A,6,H,1,12.7,14.18281506,1.51
GLAD9-PET06,2,A,6,H,2,14.18281506,15.61653028,1.46
GLAD9-PET06,2,A,6,H,9,15.61653028,15.7,0.085
GLAD9-PET06,2,A,7,H,1,15.7,17.205,1.505
GLAD9-PET06,2,A,7,H,2,17.205,18.63,1.425
GLAD9-PET06,2,A,8,H,1,18.7,20.203,1.503
GLAD9-PET06,2,A,8,H,2,20.203,21.613,1.41
GLAD9-PET06,2,A,8,H,9,21.613,21.633,0.02
GLAD9-PET06,2,A,9,H,1,21.7,23.202,1.502
GLAD9-PET06,2,A,9,H,2,23.202,24.522,1.32
GLAD9-PET06,2,A,9,H,9,24.522,24.582,0.06
GLAD9-PET06,2,A,10,H,1,24.7,26.1618798,1.505
GLAD9-PET06,2,A,10,H,2,26.1618798,27.39743536,1.272
GLAD9-PET06,2,A,10,H,9,27.39743536,27.48,0.085
GLAD9-PET06,2,A,11,H,1,27.48,28.99,1.51
GLAD9-PET06,2,A,11,H,2,28.99,30.395,1.405
GLAD9-PET06,2,A,11,H,9,30.395,30.455,0.06
GLAD9-PET06,2,A,12,H,1,30.48,31.95985588,1.506
GLAD9-PET06,2,A,12,H,2,31.95985588,33.3915624,1.457
GLAD9-PET06,2,A,12,H,9,33.3915624,33.48,0.09
GLAD9-PET06,2,A,13,H,1,33.48,34.97,1.49
GLAD9-PET06,2,A,13,H,2,34.97,36.36,1.39
GLAD9-PET06,2,A,13,H,9,36.36,36.435,0.075
GLAD9-PET06,2,A,14,H,1,36.48,37.985,1.505
GLAD9-PET06,2,A,14,H,2,37.985,39.433,1.448
GLAD9-PET06,2,A,14,H,9,39.433,39.473,0.04
GLAD9-PET06,2,A,15,H,1,39.48,40.97,1.49
GLAD9-PET06,2,A,15,H,2,40.97,42.405,1.435
GLAD9-PET06,2,A,15,H,9,42.405,42.475,0.07
GLAD9-PET06,2,A,16,H,1,42.48,43.985,1.505
GLAD9-PET06,2,A,16,H,2,43.985,45.426,1.441
GLAD9-PET06,2,A,16,H,9,45.426,45.436,0.01
GLAD9-PET06,2,A,17,H,1,45.48,46.99,1.51
GLAD9-PET06,2,A,17,H,2,46.99,48.395,1.405
