Site,Hole,Core,CoreType,Section,CuratedLength,TopDepth,BottomDepth,TopDepthScaled,BottomDepthScaled
6,C,10,H,9,0.085,30.255,30.34,30.19666667,30.28
6,C,11,H,1,1.485,30.28,31.765,30.28,31.76006645
6,C,11,H,2,1.46,31.765,33.225,31.76006645,33.21521595
6,C,11,H,9,0.065,33.225,33.29,33.21521595,33.28
6,C,12,H,1,1.495,33.28,34.775,33.28,34.775
6,C,12,H,2,1.47,34.775,36.245,34.775,36.245
6,C,12,H,9,0.03,36.245,36.275,36.245,36.275
6,C,13,H,1,1.505,36.28,37.785,36.28,37.7554902
6,C,13,H,2,1.47,37.785,39.255,37.7554902,39.19666667
6,C,13,H,9,0.085,39.255,39.34,39.19666667,39.28
6,C,14,H,1,1.5,39.28,40.78,39.28,40.78
6,C,14,H,2,1.44,40.78,42.22,40.78,42.22
6,C,14,H,9,0.01,42.22,42.23,42.22,42.23
6,C,15,H,1,1.51,42.28,43.79,42.28,43.79
6,C,15,H,2,1.4,43.79,45.19,43.79,45.19
6,C,15,H,9,0.03,45.19,45.22,45.19,45.22
6,C,16,H,1,1.51,45.28,46.79,45.28,46.79
6,C,16,H,2,1.365,46.79,48.155,46.79,48.155
6,C,16,H,9,0.04,48.155,48.195,48.155,48.195
6,C,17,E,1,1.51,48.28,49.79,48.28,49.79
6,C,17,E,2,0.98,49.79,50.77,49.79,50.77
6,C,17,E,9,0.09,50.77,50.86,50.77,50.86
6,C,18,E,9,0.18,51.28,51.46,51.28,51.46
6,C,19,E,1,0.65,52.78,53.43,52.78,53.21721973
6,C,19,E,2,1.5,53.43,54.93,53.21721973,54.22618834
6,C,19,E,9,0.08,54.93,55.01,54.22618834,54.28
6,C,20,E,1,1.17,54.28,55.45,54.28,55.45
6,C,20,E,2,1.2,55.45,56.65,55.45,56.65
6,C,20,E,9,0.08,56.65,56.73,56.65,56.73
6,C,21,E,1,1.48,57.28,58.76,57.28,58.64196319
6,C,21,E,2,1.51,58.76,60.27,58.64196319,60.03153374
6,C,21,E,3,0.21,60.27,60.48,60.03153374,60.22478528
6,C,21,E,9,0.06,60.48,60.54,60.22478528,60.28
6,C,22,E,1,0.2,60.28,60.48,60.28,60.46575851
6,C,22,E,2,1.51,60.48,61.99,60.46575851,61.86823529
6,C,22,E,3,1.5,61.99,63.49,61.86823529,63.26142415
6,C,22,E,9,0.02,63.49,63.51,63.26142415,63.28
6,C,23,E,1,0.11,63.28,63.39,63.28,63.38543131
6,C,23,E,2,1.5,63.39,64.89,63.38543131,64.82313099
6,C,23,E,3,1.5,64.89,66.39,64.82313099,66.26083067
6,C,23,E,9,0.02,66.39,66.41,66.26083067,66.28
6,C,24,E,1,0.435,66.28,66.715,66.28,66.715
6,C,24,E,9,0.04,66.715,66.755,66.715,66.755
7,A,1,H,1,0.705,0.775,1.48,0.0,0.705
7,A,1,H,9,0.02,1.48,1.5,0.705,0.725
7,A,2,H,1,1.505,1.5,3.005,0.725,2.23
7,A,2,H,2,1.31,3.005,4.315,2.23,3.54
7,A,2,H,9,0.05,4.315,4.365,3.54,3.59
7,A,3,H,1,1.28,4.5,5.78,3.725,5.005
7,A,3,H,2,1.505,5.78,7.285,5.005,6.51
7,A,3,H,9,0.07,7.285,7.355,6.51,6.58
7,A,4,H,1,1.505,7.5,9.005,6.725,8.23
7,A,4,H,2,0.36,9.005,9.365,8.23,8.59
7,A,4,H,9,0.02,9.365,9.385,8.59,8.61
7,A,5,E,1,0.995,10.5,11.495,9.725,10.72
7,A,5,E,9,0.08,11.495,11.575,10.72,10.8
7,A,6,H,1,1.075,11.6,12.675,10.825,11.9
7,A,6,H,2,1.5,12.675,14.175,11.9,13.4
7,A,6,H,9,0.07,14.175,14.245,13.4,13.47
7,A,7,H,1,1.504,14.27,15.774000000000001,13.495,14.995998
7,A,7,H,2,0.49,15.774000000000001,16.264,14.995998,15.48501996
7,A,7,H,9,0.01,16.264,16.274,15.48501996,15.495
7,A,8,H,1,1.475,16.27,17.745,15.495,16.97
7,A,8,H,9,0.09,17.745,17.835,16.97,17.06
7,A,9,H,1,0.995,17.97,18.965,17.195,18.15403614
7,A,9,H,2,1.065,18.965,20.03,18.15403614,19.18054217
7,A,9,H,9,0.015,20.03,20.045,19.18054217,19.195
7,A,10,H,1,0.59,19.97,20.56,19.195,19.77532787
7,A,10,H,9,0.02,20.56,20.58,19.77532787,19.795
7,A,11,H,9,0.05,20.57,20.62,19.795,19.845
7,A,12,E,1,0.3,20.62,20.92,19.845,20.145
7,A,12,E,9,0.05,20.92,20.97,20.145,20.195
7,A,13,A,1,0.2,22.12,22.32,21.345,21.545
7,A,13,A,9,0.09,22.32,22.41,21.545,21.635
7,A,14,H,1,1.51,25.12,26.63,24.345,25.855
7,A,14,H,2,1.3359999999999999,26.63,27.965999999999998,25.855,27.191
7,A,14,H,9,0.01,27.965999999999998,27.976,27.191,27.201
7,A,15,H,1,1.505,28.12,29.625,27.345,28.84251244
7,A,15,H,2,1.435,29.625,31.06,28.84251244,30.27037313
7,A,15,H,9,0.075,31.06,31.135,30.27037313,30.345
7,A,16,H,1,1.52,31.12,32.64,30.345,31.86247088
7,A,16,H,2,1.435,32.64,34.075,31.86247088,33.29508319
7,A,16,H,9,0.05,34.075,34.125,33.29508319,33.345
7,A,17,H,1,1.51,34.12,35.63,33.345,34.855
7,A,17,H,2,1.355,35.63,36.985,34.855,36.21
7,A,17,H,9,0.03,36.985,37.015,36.21,36.24
7,A,18,H,1,1.505,37.12,38.625,36.345,37.85
7,A,18,H,2,1.145,38.625,39.77,37.85,38.995
7,A,18,H,9,0.08,39.77,39.85,38.995,39.075
7,A,19,H,1,1.085,40.12,41.205,39.345,40.43
7,A,19,H,2,1.085,41.205,42.29,40.43,41.515
7,A,19,H,9,0.11,42.29,42.4,41.515,41.625
7,A,20,E,1,1.505,43.12,44.625,42.345,43.64055237
7,A,20,E,2,0.92,44.625,45.545,43.64055237,44.43251793
7,A,20,E,3,0.94,45.545,46.485,44.43251793,45.24170014
7,A,20,E,9,0.12,46.485,46.605,45.24170014,45.345
7,A,21,E,1,1.5,46.12,47.62,45.345,46.65695335
7,A,21,E,2,0.91,47.62,48.53,46.65695335,47.45287172
7,A,21,E,3,0.94,48.53,49.47,47.45287172,48.27502915
7,A,21,E,9,0.08,49.47,49.55,48.27502915,48.345
7,A,22,E,1,1.5,49.12,50.62,48.345,49.64934783
7,A,22,E,2,0.91,50.62,51.53,49.64934783,50.44065217
7,A,22,E,3,0.94,51.53,52.47,50.44065217,51.25804348
7,A,22,E,9,0.1,52.47,52.57,51.25804348,51.345
7,A,23,E,1,1.51,52.12,53.63,51.345,52.69321429
7,A,23,E,2,0.915,53.63,54.545,52.69321429,53.51017857
7,A,23,E,3,0.835,54.545,55.38,53.51017857,54.25571429
7,A,23,E,9,0.1,55.38,55.48,54.25571429,54.345
7,A,24,E,1,1.525,55.12,56.645,54.345,55.66840179
7,A,24,E,2,0.912,56.645,57.556999999999995,55.66840179,56.45983946
7,A,24,E,3,0.92,57.556999999999995,58.477,56.45983946,57.25821955
7,A,24,E,9,0.1,58.477,58.577,57.25821955,57.345
7,A,25,E,1,1.5,58.12,59.62,57.345,58.11779305
7,A,25,E,2,0.89,59.62,60.51,58.11779305,58.57631693
7,A,25,E,3,0.965,60.51,61.475,58.57631693,59.07348046
7,A,25,E,9,0.1,61.475,61.575,59.07348046,59.125
7,A,26,E,1,1.525,59.9,61.425,59.125,60.62993421
7,A,26,E,2,1.505,61.425,62.93,60.62993421,62.11513158
7,A,26,E,9,0.01,62.93,62.94,62.11513158,62.125
7,A,27,E,1,1.52,62.9,64.42,62.125,63.44291908
7,A,27,E,2,0.915,64.42,65.335,63.44291908,64.23627168
7,A,27,E,3,0.945,65.335,66.28,64.23627168,65.05563584
7,A,27,E,9,0.08,66.28,66.36,65.05563584,65.125
7,A,28,E,1,1.505,65.9,67.405,65.125,66.63
7,A,28,E,2,1.355,67.405,68.76,66.63,67.985
7,A,28,E,9,0.08,68.76,68.84,67.985,68.065
7,A,29,E,1,1.51,68.9,70.41,68.125,69.46128319
7,A,29,E,2,0.905,70.41,71.315,69.46128319,70.26216814
7,A,29,E,3,0.935,71.315,72.25,70.26216814,71.08960177
7,A,29,E,9,0.04,72.25,72.29,71.08960177,71.125
7,A,30,E,1,1.505,71.9,73.405,71.125,72.44132653
7,A,30,E,2,0.91,73.405,74.315,72.44132653,73.23724490000001
7,A,30,E,3,0.935,74.315,75.25,73.23724490000001,74.05502915
7,A,30,E,9,0.08,75.25,75.33,74.05502915,74.125
7,A,31,E,1,1.505,74.9,76.405,74.125,75.52717391
7,A,31,E,2,0.915,76.405,77.32,75.52717391,76.37965839
7,A,31,E,3,0.78,77.32,78.1,76.37965839,77.10636646
7,A,31,E,9,0.02,78.1,78.12,77.10636646,77.125
7,A,32,E,1,1.5,77.9,79.4,77.125,78.48246606
7,A,32,E,2,0.91,79.4,80.31,78.48246606,79.30599548
7,A,32,E,3,0.865,80.31,81.175,79.30599548,80.08880090000001
7,A,32,E,9,0.04,81.175,81.215,80.08880090000001,80.125
7,A,33,E,1,1.505,80.9,82.405,80.125,81.50152439
7,A,33,E,2,0.925,82.405,83.33,81.50152439,82.34756098
7,A,33,E,3,0.81,83.33,84.14,82.34756098,83.08841463
7,A,33,E,9,0.04,84.14,84.18,83.08841463,83.125
7,A,34,E,1,1.51,83.9,85.41,83.125,84.45735294
7,A,34,E,2,0.95,85.41,86.36,84.45735294,85.29558824
7,A,34,E,3,0.9,86.36,87.26,85.29558824,86.08970588
7,A,34,E,9,0.04,87.26,87.3,86.08970588,86.125
7,A,35,E,1,0.355,86.9,87.255,86.125,86.43414369
7,A,35,E,2,1.505,87.255,88.76,86.43414369,87.74473875
7,A,35,E,3,1.505,88.76,90.265,87.74473875,89.05533382
7,A,35,E,9,0.08,90.265,90.345,89.05533382,89.125
7,A,36,E,1,1.5,89.9,91.4,89.125,90.44271596
7,A,36,E,2,1.5,91.4,92.9,90.44271596,91.76043192
7,A,36,E,3,0.365,92.9,93.265,91.76043192,92.08107613
7,A,36,E,9,0.05,93.265,93.315,92.08107613,92.125
7,A,37,E,1,1.5,92.9,94.4,92.125,93.44852941
7,A,37,E,2,1.505,94.4,95.905,93.44852941,94.77647059
7,A,37,E,3,0.315,95.905,96.22,94.77647059,95.05441176
7,A,37,E,9,0.08,96.22,96.3,95.05441176,95.125
7,A,38,E,1,1.5,95.9,97.4,95.125,96.59558824
7,A,38,E,2,1.5,97.4,98.9,96.59558824,98.06617647
7,A,38,E,9,0.06,98.9,98.96,98.06617647,98.125
7,A,39,E,1,1.515,98.9,100.415,98.125,99.60787113
7,A,39,E,2,1.51,100.415,101.925,99.60787113,101.0858483
7,A,39,E,9,0.04,101.925,101.965,101.0858483,101.125
7,A,40,E,1,1.5,101.9,103.4,101.125,102.625
7,A,40,E,2,1.325,103.4,104.725,102.625,103.95
7,A,40,E,9,0.11,104.725,104.835,103.95,104.06
7,A,41,E,1,0.105,104.9,105.005,104.125,104.22282609999999
7,A,41,E,2,1.51,105.005,106.515,104.22282609999999,105.6296584
7,A,41,E,3,1.505,106.515,108.02,105.6296584,107.03183229999999
7,A,41,E,9,0.1,108.02,108.12,107.03183229999999,107.125
7,A,42,E,1,1.505,107.9,109.405,107.125,108.43559509999999
7,A,42,E,2,1.505,109.405,110.91,108.43559509999999,109.74619009999998
7,A,42,E,3,0.345,110.91,111.255,109.74619009999998,110.04662549999999
7,A,42,E,9,0.09,111.255,111.345,110.04662549999999,110.125
7,A,43,E,1,1.505,110.9,112.405,110.125,111.595684
7,A,43,E,2,1.455,112.405,113.86,111.595684,113.0175081
7,A,43,E,9,0.11,113.86,113.97,113.0175081,113.125
7,A,44,E,1,1.505,113.9,115.405,113.125,114.63
7,A,44,E,2,0.91,115.405,116.315,114.63,115.54
7,A,44,E,9,0.005,116.315,116.32,115.54,115.545
7,A,45,E,1,1.515,116.9,118.415,116.125,117.6274793
7,A,45,E,2,1.5,118.415,119.915,117.6274793,119.1150826
7,A,45,E,9,0.01,119.915,119.925,119.1150826,119.125
7,A,46,E,1,0.225,119.9,120.125,119.125,119.3252967
7,A,46,E,2,1.505,120.125,121.63,119.3252967,120.66505929999998
7,A,46,E,3,1.5,121.63,123.13,120.66505929999998,122.00037090000001
7,A,46,E,9,0.14,123.13,123.27,122.00037090000001,122.125
7,A,47,E,1,1.495,122.9,124.395,122.125,123.53759840000002
7,A,47,E,2,1.505,124.395,125.9,123.53759840000002,124.9596457
7,A,47,E,3,0.155,125.9,126.055,124.9596457,125.1061024
7,A,47,E,9,0.02,126.055,126.075,125.1061024,125.125
7,A,48,E,1,1.5,125.9,127.4,125.125,126.625
7,A,48,E,2,0.78,127.4,128.18,126.625,127.405
